# pinyin<TAB>text<TAB>frequency
ni	你	980000
hao	好	970000
ma	吗	920000
wo	我	995000
shi	是	990000
de	的	1000000
le	了	985000
zai	在	960000
you	有	955000
he	和	950000
bu	不	945000
ren	人	900000
zhe	这	930000
na	那	900000
lai	来	905000
qu	去	895000
shuo	说	900000
kan	看	890000
xiang	想	885000
yao	要	940000
hui	会	930000
neng	能	915000
keyi	可以	900000
haode	好的	890000
meiwenti	没问题	880000
xiexie	谢谢	875000
shoudao	收到	860000
shaodeng	稍等	820000
dengyixia	等一下	850000
wozhidao	我知道	840000
nihao	你好	980000
nihaoma	你好吗	900000
nishishei	你是谁	900000
woshishei	我是谁	760000
zheshishenme	这是什么	880000
shenmeqingkuang	什么情况	840000
zenmeban	怎么办	865000
zenmechuli	怎么处理	820000
haishiyouwenti	还是有问题	850000
youwenti	有问题	860000
meiyouwenti	没有问题	850000
meiyoufanyijieguo	没有翻译结果	700000
fanyijieguo	翻译结果	710000
fanyi	翻译	800000
tishici	提示词	670000
shujuku	数据库	720000
ciku	词库	760000
lianxiang	联想	730000
jiucuo	纠错	720000
mohuyin	模糊音	690000
pinyin	拼音	850000
shurufa	输入法	850000
jianqieban	剪贴板	810000
jianqieban	剪切板	500000
gongneng	功能	830000
shezhi	设置	840000
youhua	优化	810000
xiugai	修改	830000
wenti	问题	880000
wenjian	文件	810000
wenjianjia	文件夹	780000
daima	代码	790000
goujian	构建	760000
chenggong	成功	820000
shibai	失败	780000
cuowu	错误	820000
rizhi	日志	700000
quanxian	权限	730000
anzhuang	安装	760000
xiazai	下载	740000
baocun	保存	790000
shanchu	删除	760000
qingkong	清空	720000
fuzhi	复制	790000
zhantie	粘贴	780000
ceshi	测试	790000
jiancha	检查	820000
queren	确认	820000
zhixing	执行	770000
buzhou	步骤	760000
jieguo	结果	850000
jieshou	接受	760000
jixu	继续	800000
wanshan	完善	740000
jiejin	接近	690000
zhuanye	专业	730000
banben	版本	760000
bendiciku	本地词库	650000
bendixuexi	本地学习	640000
gerenxuexi	个人学习	630000
zidongxuexi	自动学习	650000
xiaoyonghu	小用户	200000
xuexi	学习	850000
yingyu	英语	820000
shuxue	数学	810000
cailiao	材料	780000
zhengzhi	政治	740000
fuxi	复习	800000
timu	题目	820000
jiexi	解析	760000
biji	笔记	780000
jihua	计划	820000
kaoshi	考试	800000
zhongdian	重点	790000
nandian	难点	750000
zhishidian	知识点	770000
danci	单词	810000
duanyu	短语	760000
juzi	句子	810000
changnanju	长难句	640000
wolaichuli	我来处理	820000
wowancl	我晚点处理	600000
wandiandachuli	晚点再处理	740000
qinggeichukezhixingbuzhou	请给出可执行步骤	620000
qinggeiwowanzhengzhiling	请给我完整指令	600000
xianbuyaokuodafanwei	先不要扩大范围	590000
xianwanchengdangqianbanben	先完成当前版本	590000
buyaojixujiagongneng	不要继续加新功能	580000
goujianshifouchenggong	构建是否成功	560000
qingjiancha	请检查	700000
qingxiufu	请修复	700000
qingqueren	请确认	710000
zuidixian	最低限	250000
xihuanni	喜欢你	760000
xianghenishuo	想和你说	720000
xuyaoyouhua	需要优化	730000
jiesuan	结算	560000
chongwu	宠物	730000
qiandao	签到	690000
zhuangban	装扮	630000
tujian	图鉴	580000
chengzhang	成长	650000
jingyan	经验	690000
